Timestamp,Employer,Location,Job Title,Years at Employer,Years of Experience,Salary,Signing Bonus,Annual Bonus,Annual Stock Value/Bonus,Gender,Additional Comments
3/21/2016 13:03:56,,"Milwaukee, WI",Software Engineer,1.0,10.0,135000.0,,7000.0,22000.0,M,
3/21/2016 13:04:09,,Oklahoma,Software Engineer Iii,5.0,15.0,89000.0,,9000.0,,M,
3/21/2016 13:04:16,,"Santa Clara, Ca",Devops Engineer,1.0,20.0,155000.0,,,,M,
3/21/2016 13:04:22,Amplify,NYC,Software Engineer,1.0,2.0,105000.0,0.0,47000.0,0.0,M,
3/21/2016 13:04:23,,"Seattle, WA",Software Engineer,1.0,9.0,95000.0,0.0,0.0,0.0,M,
3/21/2016 13:04:25,Sqor,San Francisco,Infrastructure/Platform Engineer,0.5,0.5,80000.0,0.0,0.0,500.0,M,
3/21/2016 13:04:33,PENSCO Trust Company,"Denver, CO",Senior Software Engineer,1.5,10.0,120000.0,0.0,6000.0,0.0,M,
3/21/2016 13:04:42,ThoughtWorks,Chicago,"Software Developer, Consultant",2.0,2.0,78000.0,0.0,0.0,0.0,M,
3/21/2016 13:04:46,,SF,Mobile Engineer (Ios),0.5,,135000.0,,,,M,
3/21/2016 13:04:50,,Chicago,Software Engineer,0.5,2.0,75000.0,,,,M,
3/21/2016 13:04:53,,"Los Angeles, CA",Lead Software Engineer,3.0,5.0,115000.0,0.0,0.0,,M,
3/21/2016 13:05:09,,Remote (US),Infrastructure Engineer,3.0,12.0,110000.0,10000.0,10000.0,15000.0,M,
3/21/2016 13:05:11,Purdue University,"West Lafayette, IN",Web Developer,1.5,2.0,60000.0,,,,M,Discounted education for employees.
3/21/2016 13:05:12,,,Cto,,11.0,250000.0,,,,M,
3/21/2016 13:05:16,,"Scottsdale, AZ",Senior Application Architect,10.0,12.0,150000.0,0.0,25000.0,0.0,M,
3/21/2016 13:05:23,,,Senior Developer,4.0,6.0,100000.0,,10000.0,,M,
3/21/2016 13:05:33,Small B2B Company,Minneapolis,Analyst,1.0,4.0,63000.0,0.0,2000.0,0.0,M,
3/21/2016 13:05:36,Small B2B Company,Minneapolis,Analyst,1.0,4.0,63000.0,0.0,2000.0,0.0,M,
3/21/2016 13:05:51,SQLI,Bordeaux,It Project Manager,3.0,8.0,38210.0,0.0,0.0,0.0,M,
3/21/2016 13:05:53,Slalom,Seattle,Senior Engineer,1.0,5.0,93000.0,0.0,15000.0,0.0,M,
3/21/2016 13:06:10,,,Management Consultant,4.0,10.0,225000.0,100000.0,60000.0,,M,
3/21/2016 13:06:23,Magento Commerce,"Charleston, SC",Member Of Technical Staff,1.0,19.0,131000.0,,,80000.0,M,Remote
3/21/2016 13:06:25,Oracle,"Bala Cynwyd, PA",Student Intern Co-Op,0.0,0.0,24.0,0.0,0.0,0.0,M,
3/21/2016 13:06:44,,St. Louis,Software Development Lead,6.0,17.0,108000.0,0.0,1000.0,,M,
3/21/2016 13:06:47,,,"Director, Product Management",,15.0,170000.0,,20000.0,30000.0,M,
3/21/2016 13:06:52,,"Upstate, NY",Developer,4.0,4.0,54000.0,0.0,0.0,0.0,M,
3/21/2016 13:06:54,,"Pittsburgh, PA",Software Engineer,2.0,2.0,67000.0,,,,M,
3/21/2016 13:06:54,Klick Inc.,"Toronto, Canada",Full Stack Developer,3.0,5.0,85000.0,0.0,5000.0,0.0,M,
3/21/2016 13:06:57,small consulting shop,"Durham, NC",Developer,3.5,10.0,150000.0,,,,M,
3/21/2016 13:06:58,Amazon,Seattle,Sde1,0.0,0.0,95000.0,20000.0,,30000.0,M,this was in 2012
3/21/2016 13:07:03,NBC Universal,New York,Senior Analyst,1.5,2.0,55000.0,0.0,0.0,0.0,M,Dont go there
3/21/2016 13:07:10,,"Orlando, FL",Sr Software Engineer,2.0,5.0,80000.0,0.0,0.0,0.0,M,
3/21/2016 13:07:22,30 person startup,San Francisco,Software Engineer,2.0,5.0,125000.0,0.0,0.0,0.0,M,options were granted but have no real monetary value
3/21/2016 13:07:27,,"San Francisco, CA",Data Scientist,2.0,3.0,120000.0,,,,M,
3/21/2016 13:07:36,,,Asd,,,123.0,,,,,
3/21/2016 13:07:58,liveops,santa clara,Sr Engineer,3.0,6.0,145000.0,0.0,20000.0,15000.0,M,
3/21/2016 13:08:00,,New York City,Senior Developer,3.0,21.0,134000.0,0.0,0.0,0.0,M,
3/21/2016 13:08:01,Expedia,Chicago,Software Engineer,2.5,,78000.0,5000.0,4000.0,,M,Expedia sucks! Don't come here...
3/21/2016 13:08:03,,San Francisco,Engineering Manager,2.0,9.0,176000.0,0.0,,,M,
3/21/2016 13:08:11,,,Data Scientist,,,110000.0,,,,M,
3/21/2016 13:08:17,,San Francisco,Csr,1.9,3.0,55000.0,,,,M,
3/21/2016 13:08:20,Quick Left,Boulder CO,Senior Developer,1.0,6.0,120000.0,0.0,0.0,500.0,M,
3/21/2016 13:08:25,1&1 Development SRL,"Bucharest, Romania",Software Developer,2.0,5.0,17264.0,0.0,0.0,0.0,M,
3/21/2016 13:08:59,,,Full-Stack Engineer,6.0,7.0,75000.0,0.0,0.0,0.0,M,
3/21/2016 13:09:25,Early-Stage Startup,"Stockholm, Sweden",Ios Developer,0.8,8.0,36500.0,0.0,0.0,0.0,M,"Yup. That's what I make. And trust me, I'm a pretty decent developer."
3/21/2016 13:09:25,,"Boston, MA",Principal Software Engineer,7.0,12.0,124000.0,0.0,0.0,600001.0,M,
3/21/2016 13:09:28,rei systems,"sterling, va",Associate Software Engineer,1.0,1.0,55000.0,,,,M,
3/21/2016 13:09:45,,,Afdsfa,,,323232.0,,,,,
3/21/2016 13:09:52,,"Sacramento, CA",Senior Software Engineer,8.0,9.0,130000.0,0.0,10000.0,0.0,M,
3/21/2016 13:10:06,,"Columbus, Ohio",Server Engineer,3.0,5.0,75000.0,0.0,0.0,0.0,M,
3/21/2016 13:10:28,Some Financial Co,Chicago,Software Dev,0.5,0.0,120000.0,35000.0,150004.0,,M,
3/21/2016 13:10:39,Mitsubishi Hitachi Power Systems America,"Orlando, Florida",Steam Turbine Service Engineer,1.0,4.0,80001.0,10000.0,,,M,$10k was relocation.
3/21/2016 13:10:44,Startup,"Detroit, MI",Senior Engineer,3.0,8.0,100000.0,0.0,0.0,80000.0,M,
3/21/2016 13:10:50,,"Ithaca, NY",Software Engineer,0.0,3.0,78000.0,1500.0,4000.0,,M,
3/21/2016 13:10:52,,New York City,Applications Developer,1.0,2.0,98000.0,0.0,10000.0,0.0,M,Finance-Buy Side
3/21/2016 13:10:54,,Northern VA,Development Engineer,4.0,4.0,93000.0,2500.0,4000.0,,M,
3/21/2016 13:10:55,SF Startup,"San Francisco, CA",Web Developer,0.5,5.0,125000.0,5000.0,,,M,
3/21/2016 13:10:56,,"Appleton, WI",Software Developer,1.0,6.0,725000.0,,4000.0,,M,
3/21/2016 13:11:03,,nyc,Senior Developer,10.0,10.0,145000.0,0.0,5000.0,0.0,M,
3/21/2016 13:11:03,Intel,"Hillsboro, Oregon",Product Development Engineer,2.5,2.5,82000.0,,,,M,
3/21/2016 13:11:04,,,Software Engineer,0.1,5.0,90000.0,0.0,0.0,0.0,M,
3/21/2016 13:11:11,City of Austin,"Austin, Tx",It Programmer,15.0,40.0,103000.0,0.0,1500.0,0.0,M,
3/21/2016 13:11:11,,,Software Engineer,,,105000.0,,,,,
3/21/2016 13:11:13,,"San Diego, CA",Software Developer,3.0,6.0,60000.0,,3000.0,,M,
3/21/2016 13:11:16,,"Vancouver, BC",Developer,3.0,6.0,100000.0,0.0,0.0,10000.0,M,
3/21/2016 13:11:18,,,Senior Ui/Ux Front-End Engineer,2.0,12.0,100000.0,0.0,0.0,0.0,M,
3/21/2016 13:11:28,,,Graduate Developer,,,32000.0,,,,,
3/21/2016 13:11:30,,"Denver, CO",Software Developer,1.0,10.0,75000.0,,,,M,non tech company
3/21/2016 13:11:30,,Vancouver BC,Senior Developer,1.5,25.0,90000.0,0.0,0.0,0.0,M,"Rails shop, a bit of Go"
3/21/2016 13:11:44,,"Copenhagen, Denmark",Cto,3.0,13.0,108500.0,0.0,0.0,0.0,M,
3/21/2016 13:11:47,Early-Stage Startup,"Denver, CO",Director Of Product,3.0,5.0,80000.0,,,50000.0,M,
3/21/2016 13:11:47,Social Tables,Washington DC,Engineer,0.5,2.0,80000.0,5000.0,,,M,
3/21/2016 13:12:02,Loyalty New Zealand,"Wellington, New Zealand",Software Engineer,2.0,2.0,50000.0,,5000.0,,M,
3/21/2016 13:12:07,Freelance,"Denver, CO",Software Engineer,11.0,20.0,190000.0,0.0,0.0,0.0,M,Estimated - bill @ $145-180/hr; don't work year-round.
3/21/2016 13:12:17,,,Engineer,,,112000.0,,,,,
3/21/2016 13:12:18,,NYC,Database Developer,2.0,4.0,90000.0,,,,M,
3/21/2016 13:12:21,,,J,,,,,,,,
3/21/2016 13:12:23,.gov,"Albany, NY",Architect,16.0,18.0,119000.0,0.0,2000.0,0.0,M,
3/21/2016 13:12:27,,,Support,,,24000.0,,,,M,
3/21/2016 13:12:34,,,Security Researcher,2.0,10.0,25000.0,,,,M,
3/21/2016 13:12:36,,,Solution Architect,,,135000.0,,,,,
3/21/2016 13:12:47,,"Appleton, WI",Software Developer,,6.0,72500.0,,4000.0,,M,
3/21/2016 13:12:48,Hedge Fund,CT,Investment Professional,3.5,10.0,500000.0,50000.0,250000.0,150000.0,M,This is low relative to field/experience.
3/21/2016 13:12:49,Twilio,San Francisco,Software Engineer New Grad,1.0,1.0,115000.0,10000.0,,80.0,M,
3/21/2016 13:12:50,,The Netherlands,Full-Stack Web Developer,2.5,4.0,30000.0,,,,M,
3/21/2016 13:12:51,Stronghold Data,Joplin Mo,Teir Two Tech,4.0,9.0,38000.0,0.0,1000.0,0.0,M,
3/21/2016 13:13:02,Self-Employed,"Jersey City, NJ","Consultant, Cto As Needed",1.0,8.0,325000.0,0.0,0.0,0.0,M,
3/21/2016 13:13:07,Employer X,Phils,Web Developer,2.0,8.0,100000.0,,,,M,
3/21/2016 13:13:19,Financial sector,"Bristol, UK",Software Analyst,1.0,2.0,23000.0,0.0,500.0,0.0,M,
3/21/2016 13:13:42,,"Boston, MA",Software Architect,1.0,6.0,145000.0,5000.0,0.0,,M,
3/21/2016 13:13:46,,,Sysadmin,2.0,2.0,30000.0,0.0,0.0,0.0,M,France
3/21/2016 13:13:47,Comcast,"Philadelphia, PA",Python Engineer,1.0,5.0,138000.0,0.0,0.0,0.0,M,"W2 Contractor, 70$/hr."
3/21/2016 13:13:54,,"Washington, USA",Senior Software Engineer,0.0,14.0,130000.0,0.0,0.0,,M,
3/21/2016 13:13:55,,"Raleigh, NC",Lead Front-End Developer,2.5,4.5,62500.0,0.0,0.0,,F,
3/21/2016 13:13:59,LinkedIn,"San Jose, CA",Site Reliability Engineer,1.0,4.0,140000.0,,14000.0,43750.0,M,
3/21/2016 13:14:01,,"Los Angeles, CA",Senior Software Developer,0.5,15.0,140000.0,0.0,0.0,0.0,M,
3/21/2016 13:14:01,Nara Logics,"Cambridge, MA",Software Developer,4.0,12.0,115000.0,,,,M,"Startup, granted ~0.4% stock options"
3/21/2016 13:14:04,CloudFlare,San Francisco,Solution Eningeer,,,83000.0,,25000.0,,M,
3/21/2016 13:14:08,,Paris,Software Engineer,1.0,6.0,53000.0,0.0,3000.0,0.0,M,
3/21/2016 13:14:17,McKinsey & Company,San Francisco,Business Analyst,1.5,1.5,90000.0,10000.0,22000.0,0.0,M,
3/21/2016 13:14:24,Small B2B Company,"Barcelona, Spain",System Administrator,10.0,10.0,1575.0,0.0,3000.0,0.0,M,
3/21/2016 13:14:27,,,Application Developer,,,100000.0,,,,,
3/21/2016 13:14:27,Microsoft,"Redmond, WA",Software Engineer 1,1.0,1.0,105000.0,15000.0,,50000.0,M,
3/21/2016 13:14:32,,,Sr Engineer,1.0,15.0,140000.0,5000.0,15000.0,50000.0,M,
3/21/2016 13:14:36,,Seattle,Lead Software Engineer,1.0,13.0,160000.0,0.0,1000.0,,M,
3/21/2016 13:14:36,,San Francisco,Lead Designer,1.5,3.0,75000.0,0.0,,,M,
3/21/2016 13:14:45,Startup,"San Francisco, CA",Software Engineer,1.0,2.5,100000.0,0.0,0.0,,M,Completed coding bootcamp in 2013
3/21/2016 13:14:48,,"Austin, TX",Software Engineer,2.0,4.0,115000.0,10000.0,11500.0,14000.0,M,
3/21/2016 13:14:48,Cornell University,"Ithaca, NY",Phd Student,4.0,4.0,28500.0,0.0,0.0,0.0,M,
3/21/2016 13:14:50,Microsoft,"Redmond, WA",Sde,2.0,4.0,275000.0,0.0,,,F,
3/21/2016 13:15:06,Booking.com,Amsterdam,Perl Developer,1.0,10.0,61700.0,,25000.0,35000.0,M,
3/21/2016 13:15:15,Amazon,Seattle,Software Development Engineer,1.0,0.0,95000.0,22000.0,20000.0,52000.0,M,
3/21/2016 13:15:24,,NYC,Programmer,1.0,3.5,90000.0,0.0,0.0,0.0,M,
3/21/2016 13:15:30,Too Small To Say,"Oklahoma City, ok",Web Developer General It,7.5,10.0,88000.0,0.0,8000.0,2500.0,M,
3/21/2016 13:15:38,,,Dev Ops,2.0,5.0,100000.0,,5000.0,,M,
3/21/2016 13:15:38,,,Junior Software Engineer,1.5,2.0,105000.0,0.0,0.0,0.0,F,
3/21/2016 13:15:50,IBM,Chicago,Linux Engineer,1.0,1.0,84000.0,,,,M,
3/21/2016 13:15:52,Synopsys,San Francisco,"Software Engineer, Sr 1",2.0,3.0,115000.0,0.0,10000.0,5000.0,M,
3/21/2016 13:16:02,,"St. Louis, MO, USA",Software Engineer Ii,1.0,11.0,80000.0,3000.0,200.0,,M,
3/21/2016 13:16:15,analytics company,"Raleigh, NC",Software Developer,2.0,11.0,103000.0,,12000.0,,M,
3/21/2016 13:16:19,,Boston,Software Developer,1.0,1.0,80000.0,0.0,0.0,0.0,M,Web developer at a magazine / news site
3/21/2016 13:16:20,,"San Francisco, CA",Engineer,2.5,2.5,100000.0,0.0,0.0,1200000.0,M,
3/21/2016 13:16:25,,"Boston, MA",Sr Software Engineer,1.0,5.0,115000.0,5000.0,8500.0,0.0,M,
3/21/2016 13:16:25,Epic,"Verona, Wisconsin",Software Developer,2.0,4.0,94000.0,,2000.0,,M,
3/21/2016 13:16:40,EVRY,"Karlstad, Sweden",Consultant,2.0,3.0,380000.0,,,,M,
3/21/2016 13:16:44,,London,Web Programmer,0.3,0.0,30187.0,0.0,0.0,0.0,M,
3/21/2016 13:16:44,,Chicago,Director Of Mobile,0.5,5.0,90000.0,0.0,0.0,0.0,M,Startup
3/21/2016 13:16:47,,Argentina,Full Stack Developer,7.0,15.0,11250.0,,,,M,
3/21/2016 13:16:53,,San Mateo,Software Engineer,5.0,11.0,122000.0,0.0,,10000.0,M,
3/21/2016 13:16:59,,Australia,Web Developer,,,160000.0,,,,M,
3/21/2016 13:17:01,,,Software Engineer,,,135000.0,,,,M,
3/21/2016 13:17:03,,Seattle,Software Engineer,4.0,6.0,85000.0,,10000.0,40000.0,M,
3/21/2016 13:17:06,B2B,NJ,Senior Developer,3.0,10.0,140000.0,0.0,10000.0,0.0,M,
3/21/2016 13:17:11,Texas Tech University System,"Lubbock, TX",Programmer Analyst Iii,3.0,7.0,55000.0,0.0,0.0,0.0,M,
3/21/2016 13:17:13,UNC-CH/NCSU Joint Biomedical Engr. Dept,"Raleigh, NC",Phd Student,1.0,4.0,24073.0,0.0,0.0,0.0,M,NIH Paygrade covers Health+Tuition
3/21/2016 13:17:15,,"West Yorkshire, UK",Developer,3.0,5.0,27000.0,0.0,0.0,0.0,M,
3/21/2016 13:17:24,,"Hartford, CT",Senior Developer,1.5,20.0,125000.0,0.0,7500.0,0.0,M,
3/21/2016 13:17:26,Investment Bank,"New York, NY",M&A Analyst,1.0,1.0,85000.0,15000.0,70000.0,0.0,M,Soul sucking
3/21/2016 13:17:32,,"Portland, OR",Senior Software Engineer,1.0,7.0,95000.0,0.0,0.0,0.0,M,
3/21/2016 13:17:36,Microsoft,"London, UK",Software Engineer,0.0,3.0,61000.0,0.0,6000.0,3500.0,F,
3/21/2016 13:17:43,Apple,Sunnyvale,Senior Software Engineer,2.0,10.0,151000.0,20000.0,40000.0,10000.0,M,
3/21/2016 13:17:51,,New Zealand,Developer,3.0,3.0,62000.0,0.0,0.0,0.0,M,
3/21/2016 13:17:52,IHS,Poland,Software Engineer,2.0,4.0,30000.0,,,2500.0,M,
3/21/2016 13:17:57,Conde Nast,"New York City, NY",Software Engineer - Level 2,4.0,8.0,112000.0,0.0,,0.0,M,
3/21/2016 13:18:02,,,Data Engineer,2.0,4.0,103000.0,,7000.0,,M,
3/21/2016 13:18:03,,,Director Of Product Engineering,1.0,,125000.0,0.0,0.0,8000.0,M,
3/21/2016 13:18:07,,,Software Engineer,1.5,2.0,109000.0,8000.0,4000.0,4000.0,M,
3/21/2016 13:18:08,Pariveda Solutions,Dallas,Consultant Ii,2.0,3.0,77000.0,5000.0,0.0,,M,Pay is uniform across all markets with exception of NY and SF. Insane benefits.
3/21/2016 13:18:11,Mid-size Fundraising Startup,"San Francisco, CA",Senior Software Engineer,0.0,11.0,165000.0,0.0,0.0,,Other,
3/21/2016 13:18:29,Starbucks Coffee Company,"Seattel, WA",Senior Application Developer,3.0,10.0,127000.0,0.0,15.0,10.0,M,
3/21/2016 13:18:38,Intel,,Software Engineer,5.0,12.0,112000.0,,20000.0,20000.0,M,
3/21/2016 13:18:46,,,Software Engineer,1.0,2.0,106500.0,0.0,0.0,0.0,M,
3/21/2016 13:19:02,,,Product Manager,4.0,1.0,85000.0,0.0,8500.0,0.0,M,
3/21/2016 13:19:29,,,Software Developer,10.0,5.0,42715.0,,,,M,
3/21/2016 13:19:35,,,Senior Software Engineer,,,225000.0,,,,M,
3/21/2016 13:19:39,,,Lead Software Engineer,6.0,22.0,78000.0,,,,M,Automotive industry
3/21/2016 13:19:39,Tumblr,2,Content Strategist/Blogger Advocate,2.0,,129857.0,,,,Other,
3/21/2016 13:19:42,LinkedIn,1,Senior Web Developer,4.0,10.0,165000.0,,15000.0,50000.0,M,
3/21/2016 13:19:58,,,Sdf,,,7445745.0,,,,,
3/21/2016 13:20:06,,,Full-Stack Software Developer,1.0,9.0,70000.0,,,,F,
3/21/2016 13:20:12,"Anixter, Inc",,Information Security Engineer,2.0,7.0,97000.0,0.0,5000.0,0.0,M,
3/21/2016 13:20:25,Yahoo!,1,Senior Software Development Engineer,6.0,10.0,93000.0,15000.0,9000.0,,M,
3/21/2016 13:20:28,,94102,Senior Software Engineer,2.0,3.0,137000.0,,145000.0,500000.0,M,
3/21/2016 13:20:31,FactSet,1,Software Engineer,3.0,5.0,120000.0,5000.0,0.0,0.0,Other,
3/21/2016 13:20:51,,,Web Developer,3.0,5.0,43000.0,,,,M,
3/21/2016 13:20:58,Tango.me,1,Senior Data Engineer,1.0,10.0,130000.0,,,,M,
3/21/2016 13:21:02,JP Morgan,114,Senior Java Dev,5.0,8.0,45000.0,0.0,3000.0,0.0,M,
3/21/2016 13:21:02,Microsoft,2,Sde Ii,4.0,4.0,125000.0,50000.0,10000.0,5000.0,M,
3/21/2016 13:21:04,Google NYC,1,Swe Iii,1.0,10.0,135500.0,50000.0,22300.0,43700.0,M,signing bonus in form of paid relocation
3/21/2016 13:21:13,Tamr Inc,,Software Engineer,1.0,5.0,135000.0,0.0,0.0,,M,
3/21/2016 13:21:14,Rockfish Interactive,1,Developer Ii,2.0,5.0,65000.0,0.0,1950.0,0.0,M,
3/21/2016 13:21:16,Small non-startup SW company,,Senior Software Engineer,4.0,14.0,92500.0,0.0,0.0,0.0,M,
3/21/2016 13:21:23,Apple Inc.,95014,Senior System Engineer,1.0,9.0,130000.0,20000.0,,40000.0,,
3/21/2016 13:21:26,,92705,Backend Web Developer,4.0,10.0,145000.0,20000.0,7000.0,,M,
3/21/2016 13:21:33,Amazon,98102,Ux Designer Ii,1.0,1.0,12000.0,55000.0,15000.0,20000.0,M,
3/21/2016 13:21:40,DoD Contractor,,Software Eng. Iii,1.0,4.0,100000.0,0.0,0.0,0.0,M,
3/21/2016 13:21:50,Walmartlabs,94086,Principal/Lead Software Engineer,4.0,14.0,190000.0,150000.0,50000.0,75000.0,M,
3/21/2016 13:21:49,,,Software Engineer,,8.0,180000.0,0.0,0.0,0.0,M,No benefits
3/21/2016 13:21:52,,1,Software Developer,,,103000.0,,15.0,,M,
3/21/2016 13:21:53,,,Product Manager,,,110000.0,0.0,,,M,
3/21/2016 13:22:02,Comcast,,Developer,1.0,1.0,50000.0,,,,M,
3/21/2016 13:22:13,,PaloAlto,Mechanical Engineer,3.0,3.0,90000.0,10000.0,5000.0,60000.0,M,
3/21/2016 13:22:13,,20008,Engineer,2.0,2.0,135000.0,0.0,0.0,2000.0,M,
3/21/2016 13:22:16,,,Data Scientist,7.0,8.0,86500.0,0.0,13000.0,2000.0,M,
3/21/2016 13:22:17,,,Senior Software Engineer,1.0,10.0,100000.0,0.0,0.0,,M,
3/21/2016 13:22:20,Iceland,London,Sales Assistant,0.0,0.0,8000.0,0.0,0.0,0.0,M,"Great retail job, £7.98 an hour, higher than the competition bar from Aldi, Lidl"
3/21/2016 13:22:28,,Greenville SC,Senior Software Developer,1.5,15.0,112000.0,,10000.0,,M,
3/21/2016 13:22:33,Grubhub,,Senior Software Engineer,2.0,7.0,128000.0,0.0,0.0,5000.0,M,
3/21/2016 13:22:39,Software,,Senior Developer,3.0,5.0,90000.0,0.0,7500.0,0.0,F,
3/21/2016 13:22:44,,Oakland,Software Engineer,8.0,8.0,110.0,,20.0,,M,
3/21/2016 13:22:50,,55414,Software Engineer,1.0,3.0,70000.0,0.0,1300.0,0.0,M,
3/21/2016 13:23:04,Intel,"Hillsboro, Oregon",Computer Hardware Engineer,1.5,1.5,72000.0,0.0,0.0,0.0,M,
3/21/2016 13:23:06,Google,Mountain View,Senior Software Engineer,5.0,15.0,178000.0,15000.0,50000.0,100000.0,M,Love every day of my job
3/21/2016 13:23:08,,Boston,Data Scientist,4.0,4.0,85000.0,0.0,5000.0,0.0,M,
3/21/2016 13:23:13,Vertafore,Bothell,Software Engineer In Devops I,1.0,1.0,50000.0,0.0,,0.0,M,"perks include onsite barristas, free drinks several expense paid corporate events a year (party cruise, etc.)"
3/21/2016 13:26:51,Amazon,98105,Ux Designer Ii,1.0,1.0,120000.0,0.0,0.0,0.0,M,
3/21/2016 13:23:24,Caesartenders,0,Software Engineer,2.0,7.0,62000.0,0.0,0.0,0.0,M,
3/21/2016 13:23:26,Small ~15 startup,Israel,Senior Software Engineer,2.0,8.0,90000.0,,,,M,Annual stock exists but don't remember what it is
3/21/2016 13:23:31,,95814,Developer,4.0,8.0,148000.0,0.0,2000.0,,M,
3/21/2016 13:23:37,Municipality,"Bremerhaven, Germany",Software Developer,7.0,11.0,54100.0,,3595.0,,M,
3/21/2016 13:23:39,,NYC,Software Engineer,3.0,4.0,110000.0,,,,M,
3/21/2016 13:23:40,,,Android Developer,2.0,2.5,80000.0,,,,M,Canadian Dollars
3/21/2016 13:23:45,Microsoft,98004,Software Engineer 2,3.5,4.0,115000.0,50000.0,15000.0,7500.0,M,
3/21/2016 13:23:55,Startup,Berlin,Lead Engineer,0.0,7.0,78000.0,,,,M,
3/21/2016 13:23:56,Cap1,,Data Engineer,0.0,0.0,80000.0,10000.0,5000.0,0.0,M,
3/21/2016 13:23:58,,San Francisco,Director Of Infrastructure,,20.0,170000.0,7500.0,,,M,
3/21/2016 13:24:00,,,Director Of Engineering,4.0,10.0,175000.0,0.0,15000.0,25000.0,M,
3/21/2016 13:24:03,small web biz,Palo Alto,Engineer,0.2,2.0,140.0,10.0,,,M,
3/21/2016 13:24:09,,"Boston, MA",Software Engineer,1.0,7.0,100000.0,0.0,0.0,0.0,M,Non-profit Institute
3/21/2016 13:24:12,Start Up,"Charleston, sc",Software Engineer,1.0,-13.0,65000.0,0.0,0.0,0.0,M,
3/21/2016 13:24:12,Analyst Warehouse,Dallas Tx,Software Developer,1.0,10.0,90000.0,0.0,0.0,0.0,M,
3/21/2016 13:24:13,Self,Austin,Owner,5.0,12.0,80000.0,0.0,120000.0,0.0,M,
3/21/2016 13:24:15,,Toronto,Development Lead,1.0,12.0,110000.0,0.0,0.0,0.0,M,
3/21/2016 13:24:23,,"Montreal, Canada",Int. Software Engineer,4.0,8.0,75000.0,,3000.0,3000.0,M,
3/21/2016 13:24:23,VMware,Seattle,Sr. Mts,1.0,10.0,155000.0,25000.0,15000.0,,M,
3/21/2016 13:24:24,Amazon,San Francisco,Sdeii,4.0,6.0,130000.0,,,150000.0,M,Via Acquisition
3/21/2016 13:24:28,,"Phoenix, AZ",Web Developer,2.0,5.0,105000.0,0.0,0.0,0.0,M,
3/21/2016 13:24:35,Fyber Gmbh,Berlin,Senior Software Developer,4.0,9.0,65000.0,3000.0,0.0,0.0,M,
3/21/2016 13:24:38,,,Dfdsfs,,,42342.0,,,,,
3/21/2016 13:24:40,Twilio,San Francisco,Senior Software Engineer,2.5,2.5,132000.0,5000.0,0.0,,M,
3/21/2016 13:24:41,,98105,Sr. Director Of Program Management,2.0,12.0,187468.0,0.0,0.0,0.0,M,
3/21/2016 13:24:48,,"Cologne, Germany",Full Stack Developer,3.0,5.0,44500.0,,,,M,
3/21/2016 13:24:50,,"Birmingham, Alabama",Software Engineer,4.0,4.0,75000.0,,,,M,
3/21/2016 13:26:22,,"Salt Lake City, UT",Software Engineer,6.0,8.0,92000.0,0.0,0.0,0.0,M,
3/21/2016 13:24:55,,,Software Developer,3.0,3.0,66111.0,0.0,0.0,0.0,M,
3/21/2016 13:24:57,Facebook,Seattle,Software Engineer,4.0,6.0,225000.0,50000.0,45000.0,200000.0,M,
3/21/2016 13:25:00,,,Staff Software Engineer,,,170000.0,,,,M,
